0,0
1.00,13845,
4.90,13861,
7.88,13865,
10.81,13924,
14.52,13924,
18.24,13924,
21.20,13924,
24.20,13926,
27.17,13926,
30.90,13926,
33.89,13928,
37.87,13928,
41.69,13970,
44.66,13970,
47.61,13971,
50.53,13971,
53.48,13971,
56.42,13971,
59.37,13971,
63.09,13971,
66.97,13971,
69.99,13971,
72.99,13971,
75.95,13971,
79.65,13971,
82.60,13971,
86.30,13971,
90.17,13971,
93.12,13971,
96.97,13971,
100.72,13971,
104.73,13971,
108.58,13971,
111.56,13971,
114.48,13971,
118.21,13971,
122.06,13971,
126.05,13971,
129.79,13971,
132.77,13971,
135.74,13971,
138.71,13971,
142.55,13971,
146.45,13971,
149.46,13971,
152.42,13971,
156.27,13971,
159.27,13971,
163.13,13971,
166.96,13971,
170.75,13971,
174.48,13971,
177.49,13971,
180.47,13971,
183.46,13971,
187.23,13971,
190.19,13971,
194.01,13971,
196.98,13971,
200.83,13971,
203.78,13971,
206.74,13971,
209.70,13971,
213.52,13971,
216.48,13971,
219.43,13971,
222.36,13971,
226.21,13971,
229.25,13971,
233.19,13971,
237.00,13971,
240.87,13971,
243.94,13971,
246.94,13971,
251.00,13971,
255.02,13971,
258.01,13971,
261.75,13971,
264.74,13971,
267.80,13971,
271.53,13971,
274.48,13971,
277.42,13971,
280.44,13971,
283.37,13971,
286.35,13971,
289.31,13971,
292.27,13971,
296.02,13971,
299.73,13971,
302.75,13971,
305.69,13971,
309.52,13971,
312.57,13971,
315.60,13971,
319.57,13971,
323.44,13971,
326.45,13971,
330.13,13971,
333.12,13971,
336.03,13971,
338.94,13971,
341.89,13971,
344.86,13971,
347.83,13971,
350.80,13971,
354.51,13971,
358.20,13971,
361.97,13971,
365.83,13971,
368.85,13971,
372.57,13971,
375.56,13971,
378.53,13971,
381.50,13971,
384.47,13971,
387.39,13971,
391.05,13971,
394.97,13971,
398.69,13971,
401.67,13971,
404.65,13971,
407.62,13971,
410.62,13971,
413.51,13971,
416.46,13971,
419.44,13971,
422.42,13971,
426.40,13971,
429.46,13971,
432.40,13971,
435.37,13971,
438.30,13971,
441.27,13971,
444.20,13971,
447.14,13971,
450.10,13971,
453.02,13971,
456.72,13971,
460.48,13971,
464.37,13971,
467.34,13971,
470.26,13971,
473.22,13971,
477.04,13971,
480.04,13971,
482.98,13971,
486.02,13971,
488.97,13971,
491.93,13971,
494.95,13971,
497.93,13971,
500.94,13971,
503.95,13971,
507.63,13971,
510.59,13971,
514.42,13971,
517.43,13971,
520.39,13971,
523.40,13971,
526.37,13971,
529.32,13971,
532.25,13971,
535.26,13971,
539.08,13971,
542.02,13971,
544.97,13971,
547.92,13971,
550.86,13971,
553.83,13971,
556.82,13971,
559.84,13971,
563.50,13971,
566.43,13971,
570.36,13971,
573.33,13971,
577.06,13971,
580.06,13971,
583.98,13971,
586.93,13971,
590.64,13971,
593.56,13971,
597.40,13971,
600.39,13971,
603.33,13971,
606.37,13971,
609.33,13971,
612.26,13971,
616.06,13971,
619.99,13971,
622.96,13971,
625.98,13971,
628.95,13971,
631.88,13971,
634.82,13971,
637.73,13971,
641.46,13971,
644.41,13971,
647.40,13971,
650.29,13971,
653.23,13971,
656.19,13971,
659.20,13971,
663.01,13971,
666.76,13971,
669.70,13971,
672.64,13971,
676.58,13971,
679.59,13971,
683.34,13971,
687.06,13971,
690.01,13971,
692.94,13971,
696.63,13971,
699.58,13971,
702.57,13971,
706.26,13971,
709.25,13971,
713.22,13971,
716.18,13971,
719.80,13971,
722.74,13971,
726.42,13971,
729.37,13971,
732.37,13971,
735.32,13971,
739.12,13971,
742.12,13971,
746.57,13971,
750.65,13971,
754.39,13971,
758.13,13971,
761.97,13971,
765.00,13971,
768.87,13971,
771.85,13971,
774.92,13971,
778.04,13971,
781.04,13971,
784.15,13971,
787.10,13971,
790.05,13971,
793.11,13971,
797.72,13971,
800.81,13971,
803.77,13971,
806.68,13971,
809.62,13971,
812.62,13971,
815.69,13971,
818.64,13971,
822.49,13971,
825.52,13971,
828.49,13971,
831.62,13971,
834.67,13971,
837.63,13971,
840.64,13971,
843.71,13971,
847.49,13971,
850.50,13971,
854.18,13971,
858.69,13971,
862.56,13971,
865.53,13971,
868.46,13971,
872.81,13971,
876.52,13971,
879.55,13971,
882.46,13971,
886.52,13971,
890.58,13971,
893.56,13971,
896.54,13971,
900.95,13971,
904.82,13971,
907.79,13971,
910.73,13971,
913.71,13971,
916.66,13971,
920.50,13971,
923.53,13971,
926.48,13971,
929.43,13971,
932.43,13971,
935.58,13971,
939.53,13971,
942.50,13971,
946.25,13971,
949.25,13971,
952.23,13971,
955.18,13971,
958.13,13971,
961.15,13971,
964.19,13971,
967.20,13971,
970.14,13971,
973.98,13971,
977.01,13971,
981.06,13971,
984.04,13971,
987.79,13971,
990.78,13971,
993.70,13971,
997.60,13971,
1000.61,13971,
1003.62,13971,
1006.60,13971,
1009.61,13971,
1013.96,13971,
1016.93,13971,
1019.87,13971,
1023.81,13971,
1027.51,13971,
1030.50,13971,
1034.27,13971,
1037.24,13971,
1041.06,13971,
1044.11,13971,
1047.16,13971,
1050.15,13971,
1053.30,13971,
1056.29,13971,
1059.31,13971,
1062.29,13971,
1065.35,13971,
1069.19,13971,
1072.15,13971,
1075.20,13971,
1078.26,13971,
1082.20,13971,
1086.05,13971,
1090.01,13971,
1093.02,13971,
1097.42,13971,
1100.40,13971,
1103.31,13971,
1106.24,13971,
1110.04,13971,
1113.02,13971,
1116.04,13971,
1119.80,13971,
1123.68,13971,
1128.12,13971,
1131.87,13971,
1136.00,13971,
1140.16,13971,
1143.15,13971,
1146.87,13971,
1149.83,13971,
1153.76,13971,
1156.78,13971,
1159.82,13971,
1164.22,13971,
1167.21,13971,
1170.88,13971,
1174.82,13971,
1179.20,13971,
1182.29,13971,
1185.31,13971,
1189.27,13971,
1192.29,13971,
1196.01,13971,
1198.97,13971,
1201.97,13971,
